example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.20136 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.00644 seconds |
./spec/features/calculations_spec.rb[3:1]  | passed | 0.00699 seconds |
./spec/features/calculations_spec.rb[4:1]  | passed | 0.00574 seconds |
./spec/features/calculations_spec.rb[5:1]  | passed | 0.02335 seconds |
./spec/features/calculations_spec.rb[6:1]  | passed | 0.00658 seconds |
./spec/features/calculations_spec.rb[7:1]  | passed | 0.00635 seconds |
./spec/features/calculations_spec.rb[8:1]  | passed | 0.00729 seconds |
./spec/features/calculations_spec.rb[9:1]  | passed | 0.00683 seconds |
./spec/features/calculations_spec.rb[10:1] | passed | 0.00627 seconds |
./spec/features/calculations_spec.rb[11:1] | passed | 0.00503 seconds |
./spec/features/calculations_spec.rb[12:1] | passed | 0.00501 seconds |
./spec/features/calculations_spec.rb[13:1] | passed | 0.00468 seconds |
./spec/features/calculations_spec.rb[14:1] | passed | 0.00447 seconds |
./spec/features/calculations_spec.rb[15:1] | passed | 0.01094 seconds |
./spec/features/calculations_spec.rb[16:1] | passed | 0.00514 seconds |
./spec/features/calculations_spec.rb[17:1] | passed | 0.01239 seconds |
./spec/features/calculations_spec.rb[18:1] | passed | 0.01174 seconds |
./spec/features/calculations_spec.rb[19:1] | passed | 0.0344 seconds  |
./spec/features/calculations_spec.rb[20:1] | passed | 0.00673 seconds |
./spec/features/calculations_spec.rb[21:1] | passed | 0.00646 seconds |
./spec/features/calculations_spec.rb[22:1] | passed | 0.00547 seconds |
./spec/features/calculations_spec.rb[23:1] | passed | 0.00555 seconds |
./spec/features/calculations_spec.rb[24:1] | passed | 0.01361 seconds |
./spec/features/calculations_spec.rb[25:1] | passed | 0.00631 seconds |
./spec/features/calculations_spec.rb[26:1] | passed | 0.01373 seconds |
./spec/features/calculations_spec.rb[27:1] | passed | 0.01312 seconds |
./spec/features/calculations_spec.rb[28:1] | passed | 0.00677 seconds |
./spec/features/calculations_spec.rb[29:1] | passed | 0.00512 seconds |
./spec/features/calculations_spec.rb[30:1] | passed | 0.00521 seconds |
./spec/features/calculations_spec.rb[31:1] | passed | 0.00558 seconds |
./spec/features/calculations_spec.rb[32:1] | passed | 0.00595 seconds |
./spec/features/calculations_spec.rb[33:1] | passed | 0.00543 seconds |
./spec/features/calculations_spec.rb[34:1] | passed | 0.00506 seconds |
./spec/features/calculations_spec.rb[35:1] | passed | 0.01738 seconds |
./spec/features/calculations_spec.rb[36:1] | passed | 0.00902 seconds |
./spec/features/calculations_spec.rb[37:1] | passed | 0.02837 seconds |
./spec/features/calculations_spec.rb[38:1] | passed | 0.02594 seconds |
./spec/features/calculations_spec.rb[39:1] | passed | 0.02896 seconds |
./spec/features/calculations_spec.rb[40:1] | passed | 0.0327 seconds  |
./spec/features/calculations_spec.rb[41:1] | passed | 0.02439 seconds |
./spec/features/calculations_spec.rb[42:1] | passed | 0.00906 seconds |
./spec/features/calculations_spec.rb[43:1] | passed | 0.00818 seconds |
./spec/features/calculations_spec.rb[44:1] | passed | 0.00729 seconds |
./spec/features/calculations_spec.rb[45:1] | passed | 0.00596 seconds |
./spec/features/calculations_spec.rb[46:1] | passed | 0.0054 seconds  |
./spec/features/calculations_spec.rb[47:1] | passed | 0.00531 seconds |
./spec/features/calculations_spec.rb[48:1] | passed | 0.01654 seconds |
./spec/features/calculations_spec.rb[49:1] | passed | 0.00653 seconds |
./spec/features/calculations_spec.rb[50:1] | passed | 0.07474 seconds |
